PV,Value
DIAG_MTCA01:PICO3_CH0:RNG0_EEGAIN_RD,2.4766969031198016e-10
DIAG_MTCA01:PICO3_CH0:RNG0_EEOFST_RD,1.93289118044504e-09
DIAG_MTCA01:PICO3_CH0:RNG1_EEGAIN_RD,3.184699032265925e-11
DIAG_MTCA01:PICO3_CH0:RNG1_EEOFST_RD,-3.6105383127704727e-09
DIAG_MTCA01:PICO3_CH1:RNG0_EEGAIN_RD,2.4769883366637657e-10
DIAG_MTCA01:PICO3_CH1:RNG0_EEOFST_RD,2.3972814844341883e-09
DIAG_MTCA01:PICO3_CH1:RNG1_EEGAIN_RD,3.185015098883248e-11
DIAG_MTCA01:PICO3_CH1:RNG1_EEOFST_RD,2.705093926635982e-10
DIAG_MTCA01:PICO3_CH2:RNG0_EEGAIN_RD,2.476905347492675e-10
DIAG_MTCA01:PICO3_CH2:RNG0_EEOFST_RD,-7.0557053533093494e-09
DIAG_MTCA01:PICO3_CH2:RNG1_EEGAIN_RD,3.1848669534984e-11
DIAG_MTCA01:PICO3_CH2:RNG1_EEOFST_RD,-7.629246678853008e-10
DIAG_MTCA01:PICO3_CH3:RNG0_EEGAIN_RD,2.476846783228126e-10
DIAG_MTCA01:PICO3_CH3:RNG0_EEOFST_RD,-1.4780710877460024e-08
DIAG_MTCA01:PICO3_CH3:RNG1_EEGAIN_RD,3.184597377470233e-11
DIAG_MTCA01:PICO3_CH3:RNG1_EEOFST_RD,-3.1599785010882897e-09
DIAG_MTCA01:PICO3_CH4:RNG0_EEGAIN_RD,2.4770716033906126e-10
DIAG_MTCA01:PICO3_CH4:RNG0_EEOFST_RD,2.4303739021291904e-09
DIAG_MTCA01:PICO3_CH4:RNG1_EEGAIN_RD,3.186378938480061e-11
DIAG_MTCA01:PICO3_CH4:RNG1_EEOFST_RD,-2.4861307457157977e-10
DIAG_MTCA01:PICO3_CH5:RNG0_EEGAIN_RD,2.476798766082311e-10
DIAG_MTCA01:PICO3_CH5:RNG0_EEOFST_RD,-9.442544524063123e-09
DIAG_MTCA01:PICO3_CH5:RNG1_EEGAIN_RD,3.186076749650546e-11
DIAG_MTCA01:PICO3_CH5:RNG1_EEOFST_RD,-5.81875436722612e-10
DIAG_MTCA01:PICO3_CH6:RNG0_EEGAIN_RD,2.4770288598041645e-10
DIAG_MTCA01:PICO3_CH6:RNG0_EEOFST_RD,-4.108878126629634e-09
DIAG_MTCA01:PICO3_CH6:RNG1_EEGAIN_RD,3.1859855031957096e-11
DIAG_MTCA01:PICO3_CH6:RNG1_EEOFST_RD,-1.1260008481173145e-09
DIAG_MTCA01:PICO3_CH7:RNG0_EEGAIN_RD,2.477045235593778e-10
DIAG_MTCA01:PICO3_CH7:RNG0_EEOFST_RD,-1.0738833156054284e-09
DIAG_MTCA01:PICO3_CH7:RNG1_EEGAIN_RD,3.186375122088414e-11
DIAG_MTCA01:PICO3_CH7:RNG1_EEOFST_RD,-2.539334020834616e-10
DIAG_MTCA01:PICO4_CH0:RNG0_EEGAIN_RD,2.4780785756739476e-10
DIAG_MTCA01:PICO4_CH0:RNG0_EEOFST_RD,-3.3684572908754262e-09
DIAG_MTCA01:PICO4_CH0:RNG1_EEGAIN_RD,3.188044273016999e-11
DIAG_MTCA01:PICO4_CH0:RNG1_EEOFST_RD,-9.063332861991569e-10
DIAG_MTCA01:PICO4_CH1:RNG0_EEGAIN_RD,2.478137695050009e-10
DIAG_MTCA01:PICO4_CH1:RNG0_EEOFST_RD,-5.793975521584116e-09
DIAG_MTCA01:PICO4_CH1:RNG1_EEGAIN_RD,3.188127539743846e-11
DIAG_MTCA01:PICO4_CH1:RNG1_EEOFST_RD,-6.232492855140492e-10
DIAG_MTCA01:PICO4_CH2:RNG0_EEGAIN_RD,2.4780180685191056e-10
DIAG_MTCA01:PICO4_CH2:RNG0_EEOFST_RD,-5.594383178930684e-09
DIAG_MTCA01:PICO4_CH2:RNG1_EEGAIN_RD,3.187665756354541e-11
DIAG_MTCA01:PICO4_CH2:RNG1_EEOFST_RD,-9.861732541693868e-10
DIAG_MTCA01:PICO4_CH3:RNG0_EEGAIN_RD,2.478139360384546e-10
DIAG_MTCA01:PICO4_CH3:RNG0_EEOFST_RD,-2.0371022646514803e-09
DIAG_MTCA01:PICO4_CH3:RNG1_EEGAIN_RD,3.18774451280035e-11
DIAG_MTCA01:PICO4_CH3:RNG1_EEOFST_RD,-4.0546865864854453e-10
DIAG_MTCA01:PICO4_CH4:RNG0_EEGAIN_RD,2.478828531327082e-10
DIAG_MTCA01:PICO4_CH4:RNG0_EEOFST_RD,-4.822823473915605e-09
DIAG_MTCA01:PICO4_CH4:RNG1_EEGAIN_RD,3.188236480378137e-11
DIAG_MTCA01:PICO4_CH4:RNG1_EEOFST_RD,-1.0168772490715128e-09
DIAG_MTCA01:PICO4_CH5:RNG0_EEGAIN_RD,2.478696969898664e-10
DIAG_MTCA01:PICO4_CH5:RNG0_EEOFST_RD,-4.51196502382345e-09
DIAG_MTCA01:PICO4_CH5:RNG1_EEGAIN_RD,3.188298236533882e-11
DIAG_MTCA01:PICO4_CH5:RNG1_EEOFST_RD,-3.598714937158576e-10
DIAG_MTCA01:PICO4_CH6:RNG0_EEGAIN_RD,2.4783924912341604e-10
DIAG_MTCA01:PICO4_CH6:RNG0_EEOFST_RD,-5.461222141178723e-09
DIAG_MTCA01:PICO4_CH6:RNG1_EEGAIN_RD,3.1878305550847585e-11
DIAG_MTCA01:PICO4_CH6:RNG1_EEOFST_RD,-2.129592502342348e-09
DIAG_MTCA01:PICO4_CH7:RNG0_EEGAIN_RD,2.478672822547878e-10
DIAG_MTCA01:PICO4_CH7:RNG0_EEOFST_RD,-6.4729324122936305e-09
DIAG_MTCA01:PICO4_CH7:RNG1_EEGAIN_RD,3.1883419515654765e-11
DIAG_MTCA01:PICO4_CH7:RNG1_EEOFST_RD,-1.6039316541593962e-09
DIAG_MTCA01:PICO5_CH0:RNG0_EEGAIN_RD,2.234313845050906e-10
DIAG_MTCA01:PICO5_CH0:RNG0_EEOFST_RD,1.8897560849495676e-08
DIAG_MTCA01:PICO5_CH0:RNG1_EEGAIN_RD,5.888367050899124e-12
DIAG_MTCA01:PICO5_CH0:RNG1_EEOFST_RD,5.016118631573363e-10
DIAG_MTCA01:PICO5_CH1:RNG0_EEGAIN_RD,2.2340734817660746e-10
DIAG_MTCA01:PICO5_CH1:RNG0_EEOFST_RD,-1.7521990969271428e-08
DIAG_MTCA01:PICO5_CH1:RNG1_EEGAIN_RD,5.88948985066895e-12
DIAG_MTCA01:PICO5_CH1:RNG1_EEOFST_RD,-4.427583022437176e-10
DIAG_MTCA01:PICO5_CH2:RNG0_EEGAIN_RD,2.2348177475262077e-10
DIAG_MTCA01:PICO5_CH2:RNG0_EEOFST_RD,1.43402978380891e-08
DIAG_MTCA01:PICO5_CH2:RNG1_EEGAIN_RD,5.8924150281303156e-12
DIAG_MTCA01:PICO5_CH2:RNG1_EEOFST_RD,3.8660405432544565e-10
DIAG_MTCA01:PICO5_CH3:RNG0_EEGAIN_RD,2.2339904925949838e-10
DIAG_MTCA01:PICO5_CH3:RNG0_EEOFST_RD,-1.8452110950306633e-08
DIAG_MTCA01:PICO5_CH3:RNG1_EEGAIN_RD,5.8899560576031185e-12
DIAG_MTCA01:PICO5_CH3:RNG1_EEOFST_RD,-4.760836169737104e-10
DIAG_MTCA01:PICO5_CH4:RNG0_EEGAIN_RD,2.2338371430397075e-10
DIAG_MTCA01:PICO5_CH4:RNG0_EEOFST_RD,-2.087611505885434e-08
DIAG_MTCA01:PICO5_CH4:RNG1_EEGAIN_RD,5.8847948215812185e-12
DIAG_MTCA01:PICO5_CH4:RNG1_EEOFST_RD,-5.529937063819546e-10
DIAG_MTCA01:PICO5_CH5:RNG0_EEGAIN_RD,2.2339116667602354e-10
DIAG_MTCA01:PICO5_CH5:RNG0_EEOFST_RD,-1.4997988628806525e-08
DIAG_MTCA01:PICO5_CH5:RNG1_EEGAIN_RD,5.884970462333161e-12
DIAG_MTCA01:PICO5_CH5:RNG1_EEOFST_RD,-3.7904665517451974e-10
DIAG_MTCA01:PICO5_CH6:RNG0_EEGAIN_RD,2.2346473282919277e-10
DIAG_MTCA01:PICO5_CH6:RNG0_EEOFST_RD,1.2930000181654577e-08
